鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
萬華區,房地(土地+建物),臺北市萬華區內江街121~150號,17.41,商,,,1071126,土地1建物1車位0,七層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040210.0,192.84,4,2,2,有,有,31700000,164385.0,,0.0,0,,RPOPMLQLKINFFBA77CA
內湖區,房地(土地+建物),臺北市內湖區成功路四段31~60號,12.23,商,,,1071117,土地1建物2車位0,十四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,781107.0,132.8,4,2,2,有,有,23000000,173193.0,,0.0,0,,RPWPMLOLKINFFCA48CA
中山區,房地(土地+建物)+車位,臺北市中山區吉林路1~30號,36.17,住,,,1071207,土地1建物1車位2,五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1070511.0,269.87,3,2,2,有,有,56500000,291507.0,坡道平面,95.26,5600000,,RPOPMLMJJHOFFCA17CA
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路四段151~180號,20.36,其他,,,1071106,土地1建物1車位2,二十六層,二十九層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1070223.0,305.5900000000001,0,0,0,無,有,79880000,298638.0,坡道平面,58.2,6000000,毛胚屋。,RPORMLSJJHOFFCA97CA
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路四段151~180號,16.97,其他,,,1071211,土地1建物1車位1,十八層,二十九層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1070223.0,238.78,0,0,0,無,有,57380000,261732.0,坡道平面,29.1,2500000,毛胚屋,RPPRMLSJJHOFFCA08CA
中山區,房地(土地+建物)+車位,臺北市中山區新生北路二段31~60號,16.02,住,,,1071112,土地2建物1車位1,七層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,980916.0,159.63,4,2,2,有,有,12000000,75174.0,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUPMLOKJHOFFCA08CA
松山區,房地(土地+建物),臺北市松山區南京東路五段151~180號,14.65,商,,,1071114,土地2建物1車位0,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,760526.0,163.19,3,2,4,有,有,36000000,220602.0,,0.0,0,含增建或未登記建物。;,RPSOMLPLKINFFDA18CA
松山區,房地(土地+建物)+車位,臺北市松山區民生東路五段181~210號,1.86,商,,,1071119,土地1建物1車位1,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,721229.0,206.83,4,2,2,有,有,37000000,178900.0,坡道平面,48.41,0,,RPRQMLMLJHOFFDA87CA
北投區,房地(土地+建物)+車位,臺北市北投區磺港路121~150號,28.29,住,,,1071123,土地1建物1車位2,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030619.0,226.96,4,2,2,有,有,28500000,125573.0,坡道平面,58.94,0,含增建或未登記建物。;,RPPOMLOLKINFFEA87CA
大安區,房地(土地+建物),臺北市大安區信義路三段31~60號,24.92,商,,,1071127,土地2建物1車位0,十五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,770121.0,213.4,4,2,2,有,有,66000000,309278.0,,0.0,0,含增建或未登記建物。;1.陽台加窗2.本買賣案價款含修繕房屋滲漏水之補貼款,RPVOMLQLKINFFFA78CA
